cve_id,cvss_score,cvss_severity,cwe_ids,analysis_timestamp,analysis_duration,thread_name,models_used,has_patch_analysis,patch_count,files_modified,lines_added,lines_removed,repositories,analysis_summary
CVE-2024-10220,8.1,HIGH,CWE-22,2025-05-29T03:02:59.430408,44.93,Analyzer_2,deepseek-r1-250120,True,1,2,20,0,kubernetes/kubernetes,  ``` 1. 信任边界类别分析    主要边界突破：数据面(容器)→宿主机 - Pod→Worker节点逃逸    次要边界突破：数据面→控制面 - Pod→API Server权限提升    架构层次影响：数据面计算层→节点隔离层→控制面存储层    技术路径：构造恶意gitRepo URL→kubelet命令注入→宿主机root权限执行→集群横向移动    关键节点：kubelet的gitRepo参数过滤机制缺失    权限扩展：Pod用户权限→宿主机root权限→集群管理权限    影响范围：Worker节点完全控制，可能危及控制平面组件    防护薄弱点：gitRepo输入验证缺失，kubelet默认root权限运行    检测难点：git操作日志与恶意命令注入的隐蔽性区分  2. 信任边界影响评估    架构影响分析：    - 控制面影响：可能通过节点凭据访问API Server，间接威胁控制层    - 数据面影响：计算层隔离完全突破，节点存储/网络层被控制    - 跨平面传播：通过节点kubelet凭据发起控制面API请求    - 节点拓扑影响：Worker节点...
CVE-2024-3177,2.7,LOW,CWE-20,2025-05-29T03:03:00.063000,45.57,Analyzer_1,deepseek-r1-250120,True,1,2,132,11,kubernetes/kubernetes,  ``` 1. 信任边界类别分析    主要边界突破：数据面→控制面 - Pod→API Server权限提升    次要边界突破：控制面→数据面 - API Server→Pod配置注入    架构层次影响：数据面计算层→控制面API层→控制层准入插件    技术路径：创建envFrom字段的Pod→绕过准入插件验证→注入未授权Secret→环境变量泄露    关键节点：ServiceAccount准入插件未校验envFrom.secretRef与SA策略的兼容性    权限扩展：Pod创建权限→未授权Secret读取权限（受限于SA策略配置）    影响范围：使用envFrom的容器、依赖SA挂载策略的集群控制平面    防护薄弱点：准入控制层对envFrom字段验证不完整，SA注解机制存在逻辑漏洞    检测难点：合法envFrom使用与策略绕过的行为特征高度相似  2. 信任边界影响评估    架构影响分析：    - 控制面影响：API层准入控制逻辑失效，控制层策略执行不完整    - 数据面影响：计算层Secret数据通过环境变量非法暴露    - 跨平面传播：数据面Po...
CVE-2023-5528,7.2,HIGH,CWE-20,2025-05-29T03:03:03.896222,49.41,Analyzer_0,deepseek-r1-250120,True,1,1,6,5,kubernetes/kubernetes,  ``` 1. 信任边界类别分析    主要边界突破：数据面(容器)→宿主机 - Pod→Worker节点逃逸    次要边界突破：数据面→控制面 - 工作负载→控制器状态操纵    架构层次影响：数据面存储层→节点计算层→控制面控制层    技术路径：恶意PV挂载参数注入→kubelet解析漏洞→Windows文件权限覆盖→SYSTEM权限获取    关键节点：kubelet对mountOptions参数的Windows路径安全校验缺失    权限扩展：Pod创建权限→Windows节点SYSTEM权限→潜在集群控制权    影响范围：Windows节点全容器控制，可能横向渗透至控制平面组件    防护薄弱点：in-tree插件输入验证机制失效，节点级挂载安全策略缺失    检测难点：合法存储配置与恶意参数注入的行为特征重叠  2. 信任边界影响评估    架构影响分析：    - 控制面影响：控制层存储插件逻辑缺陷，可能通过节点凭证影响API层    - 数据面影响：计算层容器隔离突破，存储层配置被恶意篡改    - 跨平面传播：通过节点凭据访问控制平面API，实现跨平面权限扩展...
CVE-2025-1767,6.5,MEDIUM,CWE-20,2025-05-29T03:03:15.705160,61.2,Analyzer_3,deepseek-r1-250120,True,1,2,20,0,kubernetes/kubernetes,  ``` 1. 信任边界类别分析    主要边界突破：数据面(容器)→宿主机 - 共同部署攻击面扩展（新增类别）    次要边界突破：数据面→控制面 - Pod→API Server权限提升    架构层次影响：数据面计算层→节点存储层→控制面存储层    技术路径：构造恶意gitRepo.repository路径→绕过Pod文件系统隔离→窃取同节点其他Pod数据→利用敏感信息访问控制面    关键节点：gitRepo卷的本地路径验证缺失，节点级存储共享机制    权限扩展：Pod创建权限→节点级文件系统访问→潜在集群凭证访问    影响范围：同一节点所有Pod数据、可能影响控制面存储的敏感配置    防护薄弱点：已弃用功能仍保留攻击面，缺乏运行时路径校验    检测难点：合法Git操作与恶意路径访问行为难以区分  2. 信任边界影响评估    架构影响分析：    - 控制面影响：通过窃取的SA Token可能影响API层鉴权    - 数据面影响：计算层隔离失效，节点存储层跨Pod访问    - 跨平面传播：数据面泄露的控制面凭证可触发控制面入侵    - 节点拓扑影响：Work...
CVE-2023-3955,8.8,HIGH,"CWE-20, CWE-20",2025-05-29T03:03:34.263526,34.83,Analyzer_2,deepseek-r1-250120,True,1,3,25,13,kubernetes/kubernetes,  ``` 1. 信任边界类别分析    主要边界突破：数据面(容器)→宿主机 - Pod→Worker节点逃逸    次要边界突破：无    架构层次影响：数据面计算层→节点宿主机系统层    技术路径：创建HostProcess容器+挂载系统目录→滥用Windows权限继承→获取SYSTEM权限    关键节点：kubelet对Windows特权容器配置的验证缺失    权限扩展：Pod创建权限→节点管理员权限→潜在集群控制权限    影响范围：单个Windows节点完全沦陷，可能横向扩展至集群其他组件    防护薄弱点：HostProcess容器授权机制不完善，卷挂载安全策略缺失    检测难点：合法运维操作与攻击行为特征高度重叠  2. 信任边界影响评估    架构影响分析：    - 控制面影响：间接风险，被控节点可能作为跳板攻击API Server    - 数据面影响：计算层隔离完全失效，网络层可能被用于横向移动    - 跨平面传播：通过节点凭据可能访问控制平面组件    - 节点拓扑影响：Windows Worker节点成为攻击入口点     权限边界突破：    -...
CVE-2023-3676,8.8,HIGH,"CWE-20, CWE-20",2025-05-29T03:03:43.146395,39.25,Analyzer_0,deepseek-r1-250120,True,1,1,8,4,kubernetes/kubernetes,  ``` 1. 信任边界类别分析    主要边界突破：数据面(容器)→宿主机 - Pod→Worker节点逃逸    次要边界突破：[控制面→数据面 - API Server→Pod配置注入]    架构层次影响：数据面计算层→节点隔离层→宿主机系统层    技术路径：创建hostProcess特权Pod→绕过Windows容器隔离→获得宿主机SYSTEM权限    关键节点：kubelet对windowsOptions.securityContext验证缺失    权限扩展：Pod创建权限→宿主机管理员权限→潜在集群级控制权    影响范围：Windows节点完全沦陷，威胁集群网络和存储层    防护薄弱点：Windows节点安全策略缺失，Pod Security Admission配置不足    检测难点：合法hostProcess使用与攻击行为难以区分  2. 信任边界影响评估    架构影响分析：    - 控制面影响：kubelet组件信任模型被破坏，可能影响节点管理API    - 数据面影响：计算层隔离失效，网络层面临ARP欺骗风险，存储层卷挂载暴露    - 跨平面传...
CVE-2023-3893,8.8,HIGH,CWE-20,2025-05-29T03:03:52.636698,52.57,Analyzer_1,deepseek-r1-250120,True,2,8,53,55,kubernetes-csi/csi-proxy,  ``` 1. 信任边界类别分析    主要边界突破：数据面(容器)→宿主机 - Pod→Worker节点逃逸    次要边界突破：控制面→数据面 - 控制器→工作负载恶意分发    架构层次影响：数据面计算层→宿主机系统层    技术路径：创建挂载CSI代理路径的Pod→绕过Windows权限检查→执行SMB特权命令    关键节点：kubernetes-csi-proxy对hostPath挂载的权限验证缺失    权限扩展：Pod用户权限→Windows节点Administrator权限→潜在集群凭证窃取    影响范围：单个Windows节点完全沦陷，可能威胁关联控制平面组件    防护薄弱点：CSI代理组件缺乏安全上下文限制，Windows节点安全加固不足    检测难点：合法CSI操作与恶意路径挂载行为难以区分  2. 信任边界影响评估    架构影响分析：    - 控制面影响：可能通过节点kubelet凭证泄露影响API层认证    - 数据面影响：完全突破计算层隔离，威胁存储层节点本地数据    - 跨平面传播：节点级权限可能作为跳板攻击控制平面    - 节点拓扑影...
CVE-2023-2728,6.5,MEDIUM,CWE-20,2025-05-29T03:04:00.128002,44.42,Analyzer_3,deepseek-r1-250120,True,1,4,310,35,kubernetes/kubernetes,  ``` 1. 信任边界类别分析    主要边界突破：数据面→控制面 - 容器→控制器状态操纵    次要边界突破：[数据面→控制面 - Pod→API Server权限提升]    架构层次影响：数据面计算层→控制面API层→存储层    技术路径：注入临时容器→绕过准入策略→挂载非授权Secret→读取控制面敏感数据    关键节点：ServiceAccount准入插件对ephemeralContainers字段验证缺失    权限扩展：Pod修改权限→Secret读取权限→潜在API Server访问权限    影响范围：破坏数据面计算层隔离，穿透控制面策略层，威胁存储层机密数据    防护薄弱点：准入控制对临时容器字段校验不完整，共同部署模式扩大攻击面    检测难点：合法临时容器使用与恶意挂载行为特征高度重叠  2. 信任边界影响评估    架构影响分析：    - 控制面影响：API层策略执行失效，控制层状态协调机制被干扰    - 数据面影响：计算层容器隔离突破，存储层Secret保护机制失效    - 跨平面传播：数据面配置注入导致控制面策略失效，形成双向影响    ...
CVE-2021-25741,8.8,HIGH,"CWE-20, CWE-552",2025-05-29T03:04:35.200291,42.56,Analyzer_1,deepseek-r1-250120,True,4,9,91,26,kubernetes/kubernetes,  ``` 1. 信任边界类别分析    主要边界突破：数据面(容器)→宿主机 - Pod→Worker节点逃逸    次要边界突破：数据面→控制面 - Pod→API Server权限提升    架构层次影响：数据面计算层→节点隔离层→控制面存储层    技术路径：构造含路径遍历的subPath→绕过卷挂载校验→挂载宿主机敏感文件→窃取节点凭证    关键节点：volumeMounts.subPath字段的路径规范化校验缺失    权限扩展：Pod创建权限→宿主机文件系统访问→kubelet凭证窃取→集群控制权限    影响范围：单个Worker节点文件系统→集群控制平面凭证→跨节点横向移动    防护薄弱点：hostPath使用缺乏强制限制，subPath输入验证机制缺陷    检测难点：合法卷挂载与恶意路径遍历行为难以区分，跨架构层攻击链隐蔽  2. 信任边界影响评估    架构影响分析：    - 控制面影响：通过窃取kubelet凭证可访问API Server和etcd    - 数据面影响：计算层容器隔离失效，存储层卷挂载机制被滥用    - 跨平面传播：宿主机凭证泄露导致...
CVE-2023-2727,6.5,MEDIUM,CWE-20,2025-05-29T03:04:49.535533,75.27,Analyzer_2,deepseek-r1-250120,True,1,4,310,35,kubernetes/kubernetes,  ``` 1. 信任边界类别分析    主要边界突破：数据面→控制面 - 容器→控制器状态操纵    次要边界突破：控制面→数据面 - API Server→Pod配置注入    架构层次影响：数据面计算层→控制面扩展层→API层    技术路径：创建ephemeralContainers字段→绕过ImagePolicyWebhook校验→注入受限镜像→启动恶意容器    关键节点：ImagePolicyWebhook准入插件未覆盖ephemeralContainers.image字段    权限扩展：Pod创建权限→容器执行特权→潜在节点级逃逸    影响范围：跨越准入控制策略层和Pod运行时环境    防护薄弱点：准入控制器字段覆盖不全，临时容器安全假设过时    检测难点：临时容器合法使用与恶意注入行为难以区分  2. 信任边界影响评估    架构影响分析：    - 控制面影响：API层准入控制失效，扩展层策略执行不完整    - 数据面影响：计算层镜像控制策略被绕过    - 跨平面传播：控制面策略缺陷导致数据面运行时失守    - 节点拓扑影响：Worker节点容器隔离机...
